Python,Java,C++,JavaScript,C#,PHP,Ruby,Swift,Go,Rust,Software_Development_Experience,Database_Management,Networking_Skills,Web_Development_Experience,Communication_Skills,Problem_Solving_Abilities,Teamwork_Collaboration,Time_Management,Adaptability,Personal_Interests,Internship_Experience,Certifications_Training,Leadership_Experience,Career_Goals
4,3,9,2,1,3,1,3,7,1,4,4,3,4,1,8,4,1,1,Management,Yes,No,No,blockchain
2,2,1,1,2,1,3,3,1,1,8,2,7,1,3,2,1,7,4,Research,No,Yes,No,devops
3,3,1,7,2,1,1,1,4,4,1,8,3,3,2,1,1,2,1,Management,No,No,No,mongodb
1,3,4,2,3,1,1,2,1,4,2,2,3,4,8,3,1,8,3,Management,No,Yes,No,technical-writer
4,3,2,3,3,3,2,3,4,2,9,1,8,1,1,2,2,4,9,Management,Yes,Yes,No,docker
2,1,4,4,4,2,4,1,3,4,1,2,4,1,7,1,3,9,2,Management,No,No,Yes,product-manager
4,4,3,4,2,3,3,2,1,1,2,4,2,4,8,1,7,3,1,Design,No,Yes,No,devrel
3,1,1,4,3,3,3,2,1,4,7,2,9,3,1,1,2,8,2,Coding,Yes,No,No,devops
9,2,1,3,4,1,4,4,2,4,7,2,4,2,4,8,4,4,4,Design,No,Yes,No,python
1,1,2,2,1,1,1,1,1,3,3,1,2,4,8,2,7,4,2,Research,No,No,Yes,engineering-manager
4,3,1,9,3,3,4,4,2,3,4,9,1,4,1,2,2,1,4,Coding,No,No,No,mongodb
4,1,9,1,3,4,1,4,7,2,4,3,2,4,4,7,2,2,2,Coding,No,Yes,No,blockchain
1,3,3,3,1,2,1,3,1,4,1,2,4,4,9,4,1,8,3,Management,Yes,Yes,Yes,product-manager
7,1,2,2,2,1,2,2,3,3,4,9,1,4,1,8,2,3,2,Management,Yes,No,No,ai-data-scientist
2,3,4,1,4,2,3,2,2,3,2,1,9,2,3,7,4,4,3,Design,Yes,Yes,No,linux
2,1,4,4,2,1,1,3,2,1,7,1,8,4,4,2,1,2,7,Research,No,No,No,kubernetes
1,2,8,2,2,1,1,4,1,2,9,1,2,2,2,8,1,2,3,Research,No,No,No,cpp
9,3,3,4,4,3,2,3,1,4,9,7,1,1,3,3,4,1,4,Management,No,Yes,No,backend
2,3,2,7,2,1,2,1,3,3,2,2,2,9,2,2,2,1,9,Research,No,Yes,No,vue
4,3,3,4,1,3,4,4,2,1,4,1,1,1,4,8,1,7,4,Management,Yes,No,No,qa
8,3,2,2,4,2,2,2,2,3,9,2,2,2,3,9,4,2,3,Design,No,Yes,No,python
3,4,1,2,3,2,3,2,3,2,1,4,7,1,4,7,3,4,4,Design,Yes,No,No,linux
4,1,1,3,4,4,3,2,4,4,2,4,7,1,1,8,3,2,7,Research,No,Yes,No,cyber-security
7,3,4,3,3,2,4,2,3,2,4,4,9,2,2,9,4,3,4,Management,No,No,No,ai-red-teaming
1,4,1,3,2,2,4,4,3,2,7,1,9,2,3,3,2,1,9,Design,Yes,No,No,docker
8,3,3,3,4,4,4,1,1,1,4,8,3,1,4,7,2,1,1,Research,No,Yes,No,ai-data-scientist
4,4,3,2,3,2,1,2,2,3,3,1,2,4,2,7,4,9,3,Coding,Yes,No,No,qa
1,2,2,3,4,3,3,1,2,1,3,2,4,4,7,4,4,3,7,Management,No,No,No,ux-design
1,1,1,3,2,4,4,3,1,2,4,2,8,1,2,2,4,4,7,Research,No,Yes,No,aws
4,3,9,4,3,3,4,3,3,1,8,2,1,2,4,7,4,2,2,Coding,Yes,Yes,No,cpp
2,4,3,7,2,1,4,4,4,4,4,3,2,8,3,3,1,1,3,Management,Yes,No,No,frontend
3,3,2,3,1,4,1,1,4,1,2,4,1,3,9,1,8,2,1,Research,Yes,Yes,Yes,engineering-manager
8,2,3,1,2,1,3,2,1,2,2,8,2,3,1,1,1,8,3,Design,Yes,No,No,data-analyst
4,3,2,1,1,7,1,2,3,1,2,8,2,7,1,2,1,4,2,Coding,Yes,Yes,No,php
